x,x^2,x^3,x^4,x^5,x^6,x^7,x^8,y
-1,1,-1,1,-1,1,-1,1,-1.22E-16
-0.95,0.9025,-0.857375,0.81450625,-0.773780938,0.735091891,-0.698337296,0.663420431,-0.156434465
-0.9,0.81,-0.729,0.6561,-0.59049,0.531441,-0.4782969,0.43046721,-0.309016994
-0.85,0.7225,-0.614125,0.52200625,-0.443705313,0.377149516,-0.320577088,0.272490525,-0.4539905
-0.8,0.64,-0.512,0.4096,-0.32768,0.262144,-0.2097152,0.16777216,-0.587785252
-0.75,0.5625,-0.421875,0.31640625,-0.237304688,0.177978516,-0.133483887,0.100112915,-0.707106781
-0.7,0.49,-0.343,0.2401,-0.16807,0.117649,-0.0823543,0.05764801,-0.809016994
-0.65,0.4225,-0.274625,0.17850625,-0.116029063,0.075418891,-0.049022279,0.031864481,-0.891006524
-0.6,0.36,-0.216,0.1296,-0.07776,0.046656,-0.0279936,0.01679616,-0.951056516
-0.55,0.3025,-0.166375,0.09150625,-0.050328438,0.027680641,-0.015224352,0.008373394,-0.987688341
-0.5,0.25,-0.125,0.0625,-0.03125,0.015625,-0.0078125,0.00390625,-1
-0.45,0.2025,-0.091125,0.04100625,-0.018452813,0.008303766,-0.003736695,0.001681513,-0.987688341
-0.4,0.16,-0.064,0.0256,-0.01024,0.004096,-0.0016384,0.00065536,-0.951056516
-0.35,0.1225,-0.042875,0.01500625,-0.005252188,0.001838266,-0.000643393,0.000225188,-0.891006524
-0.3,0.09,-0.027,0.0081,-0.00243,0.000729,-0.0002187,0.00006561,-0.809016994
-0.25,0.0625,-0.015625,0.00390625,-0.000976563,0.000244141,-6.10352E-05,1.52588E-05,-0.707106781
-0.2,0.04,-0.008,0.0016,-0.00032,0.000064,-0.0000128,0.00000256,-0.587785252
-0.15,0.0225,-0.003375,0.00050625,-7.59375E-05,1.13906E-05,-1.70859E-06,2.56289E-07,-0.4539905
-0.1,0.01,-0.001,0.0001,-0.00001,0.000001,-0.0000001,0.00000001,-0.309016994
-0.05,0.0025,-0.000125,6.25E-06,-3.125E-07,1.5625E-08,-7.8125E-10,3.90625E-11,-0.156434465
0,0,0,0,0,0,0,0,0
0.05,0.0025,0.000125,6.25E-06,3.125E-07,1.5625E-08,7.8125E-10,3.90625E-11,0.156434465
0.1,0.01,0.001,0.0001,0.00001,0.000001,0.0000001,0.00000001,0.309016994
0.15,0.0225,0.003375,0.00050625,7.59375E-05,1.13906E-05,1.70859E-06,2.56289E-07,0.4539905
0.2,0.04,0.008,0.0016,0.00032,0.000064,0.0000128,0.00000256,0.587785252
0.25,0.0625,0.015625,0.00390625,0.000976563,0.000244141,6.10352E-05,1.52588E-05,0.707106781
0.3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,0.00006561,0.809016994
0.35,0.1225,0.042875,0.01500625,0.005252188,0.001838266,0.000643393,0.000225188,0.891006524
0.4,0.16,0.064,0.0256,0.01024,0.004096,0.0016384,0.00065536,0.951056516
0.45,0.2025,0.091125,0.04100625,0.018452813,0.008303766,0.003736695,0.001681513,0.987688341
0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,1
0.55,0.3025,0.166375,0.09150625,0.050328438,0.027680641,0.015224352,0.008373394,0.987688341
0.6,0.36,0.216,0.1296,0.07776,0.046656,0.0279936,0.01679616,0.951056516
0.65,0.4225,0.274625,0.17850625,0.116029063,0.075418891,0.049022279,0.031864481,0.891006524
0.7,0.49,0.343,0.2401,0.16807,0.117649,0.0823543,0.05764801,0.809016994
0.75,0.5625,0.421875,0.31640625,0.237304688,0.177978516,0.133483887,0.100112915,0.707106781
0.8,0.64,0.512,0.4096,0.32768,0.262144,0.2097152,0.16777216,0.587785252
0.85,0.7225,0.614125,0.52200625,0.443705313,0.377149516,0.320577088,0.272490525,0.4539905
0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.309016994
0.95,0.9025,0.857375,0.81450625,0.773780938,0.735091891,0.698337296,0.663420431,0.156434465
