x,x^2,x^3,x^4,x^5,x^6,x^7,x^8,y
-1,1,-1,1,-1,1,-1,1,-1.22E-16
-0.9,0.81,-0.729,0.6561,-0.59049,0.531441,-0.4782969,0.43046721,-0.309016994
-0.8,0.64,-0.512,0.4096,-0.32768,0.262144,-0.2097152,0.16777216,-0.587785252
-0.7,0.49,-0.343,0.2401,-0.16807,0.117649,-0.0823543,0.05764801,-0.809016994
-0.6,0.36,-0.216,0.1296,-0.07776,0.046656,-0.0279936,0.01679616,-0.951056516
-0.5,0.25,-0.125,0.0625,-0.03125,0.015625,-0.0078125,0.00390625,-1
-0.4,0.16,-0.064,0.0256,-0.01024,0.004096,-0.0016384,0.00065536,-0.951056516
-0.3,0.09,-0.027,0.0081,-0.00243,0.000729,-0.0002187,0.00006561,-0.809016994
-0.2,0.04,-0.008,0.0016,-0.00032,0.000064,-0.0000128,0.00000256,-0.587785252
-0.1,0.01,-0.001,0.0001,-0.00001,0.000001,-0.0000001,0.00000001,-0.309016994
0,0,0,0,0,0,0,0,0
0.1,0.01,0.001,0.0001,0.00001,0.000001,0.0000001,0.00000001,0.309016994
0.2,0.04,0.008,0.0016,0.00032,0.000064,0.0000128,0.00000256,0.587785252
0.3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,0.00006561,0.809016994
0.4,0.16,0.064,0.0256,0.01024,0.004096,0.0016384,0.00065536,0.951056516
0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,1
0.6,0.36,0.216,0.1296,0.07776,0.046656,0.0279936,0.01679616,0.951056516
0.7,0.49,0.343,0.2401,0.16807,0.117649,0.0823543,0.05764801,0.809016994
0.8,0.64,0.512,0.4096,0.32768,0.262144,0.2097152,0.16777216,0.587785252
0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.309016994
