Height,Weight
187.5714232,109.7209851
174.7060363,73.62273185
188.2396677,96.49755015
182.1966851,99.80950419
177.4997615,93.59861876
170.8226598,69.04221615
174.7141064,83.42821885
173.6052294,76.19035195
170.2281321,79.80018673
161.1794947,70.94164201
180.836271,84.64250139
181.967645,96.95128455
164.506476,75.80767932
175.978998,85.93127231
175.8790799,84.56504714
171.819874,78.10261398
183.9425242,88.91696224
162.4947873,78.41855902
176.8857521,84.36083528
172.5574523,82.74726813
172.5042275,78.9775925
176.3761773,89.68939099
168.0187952,67.66393615
191.023173,103.7645136
172.4487187,73.48492123
173.0858433,87.24568902
175.4876638,83.65831963
184.9141425,93.8156121
171.2499554,79.47563349
173.980895,70.00858628
174.2900008,85.051604
188.0458714,96.57437493
181.6816687,88.46506527
175.7176092,93.06964917
176.726094,92.60721401
178.8183594,87.49949121
175.4534748,89.57908694
170.6715491,83.37518697
167.1505818,74.32187695
163.3326372,73.98449171
172.654814,78.0793299
183.3611419,88.0174433
165.7866776,76.48366074
167.8690505,73.11605148
171.4762166,74.68858448
178.0661571,85.69364533
173.3596646,84.84916998
183.3186812,94.83287107
175.7168384,87.09616643
185.0907148,95.86326582
164.5477608,75.12010874
178.2662167,91.20461347
173.9682836,78.66372102
171.0203104,82.28507206
170.156998,76.99166618
168.9088567,74.07589557
173.6167639,86.05103355
179.767126,87.14629376
180.8884461,89.90123773
177.833948,95.03954411
181.3640828,90.15585187
176.6620929,89.84728729
187.4990778,88.58225936
170.1720822,74.81696269
181.4029034,81.58482719
165.8094225,70.42034882
173.4164463,83.69651972
184.8240397,100.0977942
172.9724247,83.14915395
174.9976334,89.10874364
175.9953553,83.73109116
179.1289903,94.13523529
176.9458621,80.37692367
171.6919828,73.98448494
184.1706258,98.07485943
180.9825834,92.83009475
182.3953347,91.13596374
183.5027203,100.1992756
168.9420743,89.10808505
167.7137464,76.49412231
171.645971,82.29642716
173.3462842,90.10998495
187.5183626,107.9171281
177.2982595,78.49012935
167.5373276,72.88493912
180.5407046,85.54877527
169.1543392,94.50394005
175.1368991,87.74062225
173.340933,78.97476423
183.6847358,89.52481313
182.4111679,91.45352147
165.7021058,82.10558297
179.4269464,82.60930266
164.419091,80.53492549
170.44302,74.83115
165.3984116,75.16795635
182.1211344,87.58596783
169.7555106,81.95676566
168.8370392,78.36877853
176.3052766,80.49925176
177.9325308,91.0897727
169.5287558,76.08542018
168.336796,70.03262023
173.5542579,80.73244902
177.992756,83.433194
174.5817899,81.28585551
171.5923702,71.92517053
168.2842266,75.52466992
175.7227948,78.0104203
171.7271266,79.09019821
176.0035546,85.15978964
173.2043374,91.39332783
181.8819979,92.95325329
175.7600181,81.05033439
170.8453809,74.39563231
187.1603912,101.2734878
176.6245261,92.06026406
173.511362,85.90659882
172.0569672,80.81673865
182.132637,101.2867921
161.6259521,75.76288511
174.5518441,81.85915041
170.0513278,74.58828094
159.2757539,68.02501916
183.5363587,87.50255363
180.1079788,91.57296674
171.7290027,81.58669764
179.8359597,89.11618817
176.0341134,85.0719278
168.2569618,77.87864369
171.4301702,86.95340713
167.1478707,75.22852703
181.4670124,84.21513416
173.8995908,80.86719856
162.5293285,68.48288981
180.3448201,95.22226167
173.0748994,78.99658679
173.7243166,81.59166498
172.9643982,76.08876129
173.0770995,83.02759359
174.9046294,76.90961745
168.0180855,78.66721927
168.1633214,82.05005485
171.2775853,83.23818387
176.4566093,93.42993223
179.1102836,83.3519957
181.1994751,91.60494351
180.3449397,98.03034601
168.1539632,72.29817573
184.2599999,95.40691954
171.3975535,81.01985469
165.9900428,66.55999829
179.9439185,88.8754625
177.6437272,77.19040588
164.4391313,76.95372172
176.0433433,89.98298841
174.8496957,81.60470113
157.3208011,66.79763009
174.2270723,80.27864043
165.655182,84.12670506
163.4074662,80.50976879
174.622223,77.03238514
184.1237247,90.07506967
170.7741845,92.23808709
170.8495563,87.64199059
165.4010009,80.80058605
168.3075629,73.8355168
171.9622663,72.25108692
166.4479678,78.06967499
177.4671833,91.55166782
173.9439634,77.27045387
183.4234669,93.16315234
173.176013,77.0143733
182.8322646,90.91676056
167.8054473,81.00652084
169.306657,76.20981978
171.7025375,80.63342863
173.344698,87.66918403
164.6138985,73.6540606
171.4302344,83.18143567
173.179056,82.12559637
176.6655977,95.64976103
168.6617142,75.10054663
169.1440791,88.97136766
182.7171519,91.64664208
173.449086,77.29824678
177.686846,91.60203591
182.501868,87.7187891
167.0189665,81.58110196
170.2609043,70.9825826
194.8429805,106.6101857
184.3306483,104.5804142
177.1111644,92.48543794
184.910029,98.98121178
184.2499593,101.0000506
183.6286482,94.56253137
170.823445,82.00026198
192.8989294,105.1992105
168.4432291,77.38000929
180.7363759,85.3984264
180.8281938,88.93194114
183.3816805,97.34246895
190.8576864,101.6609765
163.6052846,71.93034599
164.4254379,75.52357364
161.0730513,72.63850212
172.3356097,79.91049752
167.4667335,79.14513378
180.2550381,87.9544366
171.6550981,84.81789687
174.2167469,78.74166434
178.6248737,87.70045298
183.8819802,94.54513301
179.8849761,93.45491047
167.3943852,78.27874416
189.9802526,105.5215576
171.9095343,80.39471208
170.5761454,79.67193351
182.3080967,96.44549899
164.2496891,75.73589519
173.0318316,89.09200745
169.6387952,75.03828802
169.6868586,80.08884277
172.430475,79.22076573
175.7008854,88.55818139
178.3713052,93.29681578
164.7337299,71.82241152
172.2655769,76.6937927
161.1382286,61.53242005
182.4950245,98.95448288
169.4893071,70.71478475
182.7994964,91.41156906
193.0942226,107.0141737
181.5492973,88.62852819
171.119314,80.1207507
179.2103191,90.01998108
177.4624373,84.23970465
172.5868279,80.44353414
188.2255795,97.86687544
175.6863042,84.83187367
169.0553606,77.83089162
169.4220767,78.39875468
170.805005,76.33059189
175.3905191,74.30766321
179.5087778,86.19310956
166.3674476,71.15495512
165.575541,78.29291964
171.6230832,76.68607017
187.4910796,104.9496259
181.8806731,94.00715825
172.0208631,78.08712024
173.3070752,90.64027242
167.4607311,76.24446626
181.7331791,89.72939473
175.677528,89.30877896
174.2380547,81.74715768
180.4860776,85.78967497
161.6559113,71.85927719
180.8034367,94.76565747
167.9668299,84.88571466
165.2457277,71.47813028
172.9520909,82.39246709
180.3225855,92.87145525
188.5217842,104.838805
176.0908802,84.48533361
164.9256092,82.14273052
173.6009795,90.22896501
180.1599777,92.24721515
156.1536354,73.04135374
173.9666643,86.09479243
183.0067203,90.81040139
184.2050342,100.6351233
180.9341349,97.09597075
183.5381526,91.49015123
171.6152014,84.90656817
183.5597218,89.14328676
159.0046299,68.81929745
168.2405507,75.88482134
176.912111,90.19390974
175.9862404,81.09750865
179.642208,87.78785645
174.824682,89.69233181
167.6766477,83.67040201
168.6938004,70.39510688
169.203686,73.02467867
172.8084473,85.76719917
179.076091,78.46496463
175.6606329,88.85652135
179.8193574,97.86086615
165.5937179,75.61713076
189.9557144,108.6191102
180.5099419,83.58759168
176.1088624,90.71109304
177.543978,86.82305674
163.6399922,76.70667161
172.344412,88.33455745
171.5746365,83.12823329
189.909315,95.42210763
181.4041228,89.83048635
170.4856747,78.31905008
177.4433533,89.38976379
173.814266,86.41191139
172.5510458,83.71289069
173.9781716,81.61472539
165.7201243,72.34938446
178.2707942,89.75882933
180.6044982,98.55175476
173.8568495,85.23330517
166.1682651,80.22304508
171.9600018,83.98174329
188.5265802,101.2907406
180.7648045,93.86768099
170.7661606,77.57191612
172.4166204,79.47968205
171.1359937,78.61220894
174.6535672,82.15729257
182.1313922,91.90182531
